,X,article.id,Keep,timestamp,coder,journal,year,jpsp.section,first.author,affiliation,specialization,citation,type,citations.number,study.number,sample.size,excluded.participants,expcor,design,conditions.number,predictors.number,dv.number,which.statistical.test,copied.statistic,df.numerator,df.denominator,test.statistic,p.exact,p.exact.value,drop.column,null.predicted,sigtests.number.reported,sigtests.number.significant,total.num.studies,effect.size.reported,effect.size,footnotes.number,additional.analyses,covariates.number,coding.difficulty,comments
86,86,34,1,6/12/2015 11:55,Coder5,Psych Science,2013,,Ackerman,The University of Texas at Dallas,Social / Personality,"Ackerman, R. A., Kashy, D. A., Donnellan, M. B., Neppl, T., Lorenz, F. O., & Conger, R. D. (2013). The Interpersonal Legacy of a Positive Family Climate in Adolescence. Psychological science, 24(3), 243-250.","Original Research (i.e., any study with data that is NOT a meta-analysis)",2,1,288,0,"Correlational (i.e., IVs were measured and not manipulated)",Between,NA,NA,4,HLM,,,,,NA,,,,16,11,1,0,,5,No,,Slightly Easy,HLM was conducted so I followed coding notes by coding N and p-values. 
337,337,148,1,7/7/2015 17:24,Coder5,Psych Science,2013,,Aspell,"Brain Mind Institute, Ecole Polytechnique Fédérale de Lausanne",Neuroscience,"Aspell, J. E., Heydrich, L., Marillier, G., Lavanchy, T., Herbelin, B., & Blanke, O. (2013). Turning body and self inside out visualized heartbeats alter bodily self-consciousness and tactile perception. Psychological science, 0956797613498395.","Original Research (i.e., any study with data that is NOT a meta-analysis)",24,1,17,0,"Experimental (i.e., all IVs were manipulated)",Within,0,3,5,ANOVA (F),"F(1, 16) = 4.36, p = .053",1,16,4.36,Yes,0.053,,No,75,19,1,1,partial eta-squared = .214,0,Yes,0,Very Difficult,"neuroscience: ECG data, signal analysis, tactile perception. Strange methods that were hard to follow. "
734,734,220,1,7/29/2015 12:17,Coder5,Psych Science,2013,,Attwood,University of Bristol,Clinical,"Attwood, A. S., Penton-Voak, I. S., Burton, A. M., & Munafò, M. R. (2013). Acute anxiety impairs accuracy in identifying photographed faces. Psychological science, 24(8), 1591-1594.","Original Research (i.e., any study with data that is NOT a meta-analysis)",8,1,28,0,"Experimental (i.e., all IVs were manipulated)",Within,0,1,1,t-test (t),"t(27) = 2.88, p = .008",,27,2.88,Yes,0.008,,No,3,2,1,0,,0,No,0,Slightly Easy,
1013,1013,474,1,8/5/2015 16:49,Coder5,JESP,2013,,Breines,"University of California, Berkeley",Social / Personality,"Breines, J. G., & Chen, S. (2013). Activating the inner caregiver: The role of support-giving schemas in increasing state self-compassion. Journal of Experimental Social Psychology, 49(1), 58-64.","Original Research (i.e., any study with data that is NOT a meta-analysis)",11,1,63,5,"Experimental (i.e., all IVs were manipulated)",Between,2,1,3,ANOVA (F),"F(1,56) = 3.96, p = 0.05",1,56,3.96,Yes,0.05,,No,7,3,4,0,,1,No,0,Moderately Easy,
1039,1039,474,1,8/6/2015 13:21,Coder5,JESP,2013,,Breines,"University of California, Berkeley",Social / Personality,"Breines, J. G., & Chen, S. (2013). Activating the inner caregiver: The role of support-giving schemas in increasing state self-compassion. Journal of Experimental Social Psychology, 49(1), 58-64.","Original Research (i.e., any study with data that is NOT a meta-analysis)",11,2,34,2,"Experimental (i.e., all IVs were manipulated)",Between,2,1,3,ANOVA (F),"F(1,30) = 5.44, p < 0.05",1,30,5.44,No,,,No,10,6,4,0,,0,No,0,Moderately Easy,
1040,1040,474,1,8/6/2015 13:28,Coder5,JESP,2013,,Breines,"University of California, Berkeley",Social / Personality,"Breines, J. G., & Chen, S. (2013). Activating the inner caregiver: The role of support-giving schemas in increasing state self-compassion. Journal of Experimental Social Psychology, 49(1), 58-64.","Original Research (i.e., any study with data that is NOT a meta-analysis)",11,3,65,3,"Experimental (i.e., all IVs were manipulated)",Between,2,1,4,ANOVA (F),"F(1,60) = 4.53, p < 0.05",1,60,4.53,No,,,No,8,5,4,0,,0,No,0,Moderately Easy,
1041,1041,474,1,8/6/2015 13:34,Coder5,JESP,2013,,Breines,"University of California, Berkeley",Social / Personality,"Breines, J. G., & Chen, S. (2013). Activating the inner caregiver: The role of support-giving schemas in increasing state self-compassion. Journal of Experimental Social Psychology, 49(1), 58-64.","Original Research (i.e., any study with data that is NOT a meta-analysis)",11,4,90,28,"Experimental (i.e., all IVs were manipulated)",Between,3,1,1,ANOVA (F),"F(2,59) = 3.27, p < 0.05",2,59,3.27,No,,,No,3,3,4,0,,0,No,0,Very Easy,"There was such a high exclusion rate because of the following: ""this experiment was conducted during a summer session that included a high proportion of visiting foreign students. Because there were language comprehension issues for many of these students, we excluded visiting participants who indicated that English was not their first language and that they had lived in the United States for less than one year"""
790,790,330,1,7/31/2015 11:41,Coder5,Psych Science,2013,,Brinol,Universidad Autonoma de Madrid,Social / Personality,"Briñol, P., Gascó, M., Petty, R. E., & Horcajo, J. (2013). Treating thoughts as material objects can increase or decrease their impact on evaluation. Psychological science, 24(1), 41-47.","Original Research (i.e., any study with data that is NOT a meta-analysis)",14,1,83,0,"Experimental (i.e., all IVs were manipulated)",Between,4,2,1,ANOVA (F),"F(1, 79) = 5.33, p = .02",1,79,5.33,Yes,0.02,,No,4,3,2,1,eta squared= .05,1,No,0,Very Easy,
793,793,330,1,7/31/2015 11:50,Coder5,Psych Science,2013,,Brinol,Universidad Autonoma de Madrid,Social / Personality,"Briñol, P., Gascó, M., Petty, R. E., & Horcajo, J. (2013). Treating thoughts as material objects can increase or decrease their impact on evaluation. Psychological science, 24(1), 41-47.","Original Research (i.e., any study with data that is NOT a meta-analysis)",14,2,284,0,"Experimental (i.e., all IVs were manipulated)",Between,6,2,1,ANOVA (F),"F(2, 282) = 42.84, p < .001",2,282,42.84,No,,,No,7,7,2,1,eta squared = .23,4,No,0,Moderately Easy,
1635,1635,638,1,8/12/2015 15:42,Coder5,Psych Science,2014,,Bronfman,Tel Aviv University,Neuroscience,"Bronfman, Z. Z., Brezis, N., Jacobson, H., & Usher, M. (2014). We See More Than We Can Report “Cost Free” Color Phenomenality Outside Focal Attention. Psychological science, 25(7), 1394-1403.","Original Research (i.e., any study with data that is NOT a meta-analysis)",5,1,13,1,"Experimental (i.e., all IVs were manipulated)",Within,2,1,4,t-test (t),"t(11) = 3.1, p = .01",,11,3.1,Yes,0.01,,No,7,4,6,1,d= 0.89,0,Yes,0,Slightly Difficult,This was a very cognitive paper--I had trouble following it. 
